NAME	biosample_id	biosample_type	disease	disease__ontology_label	organ	organ__ontology_label	library_preparation_protocol	library_preparation_protocol__ontology_label	donor_id	species	species__ontology_label	sex	is_living
TYPE	group	group	group	group	group	group	group	group	group	group	group	group	group
AA	AB_D06_02	PrimaryBioSample_PrimaryCulture	MONDO_0001678	intestinal tuberculosis	UBERON_0000178	blood	EFO_0008931	Smart-seq2	D01	NCBITaxon_9031	Gallus gallus	male	no
AB	AB_D06_02	PrimaryBioSample_PrimaryCulture	MONDO_0001678	intestinal tuberculosis	UBERON_0000178	blood	EFO_0008931	Smart-seq2	D01	NCBITaxon_9031	Gallus gallus	male	no
AC	AB_D06_02	PrimaryBioSample_PrimaryCulture	MONDO_0001678	intestinal tuberculosis	UBERON_0000178	blood	EFO_0008931	Smart-seq2	D01	NCBITaxon_9031	Gallus gallus	male	no
AD	AB_D06_02	PrimaryBioSample_PrimaryCulture	MONDO_0001678	intestinal tuberculosis	UBERON_0000178	blood	EFO_0008931	Smart-seq2	D01	NCBITaxon_9031	Gallus gallus	male	no
AE	AB_D06_02	PrimaryBioSample_PrimaryCulture	MONDO_0001678	intestinal tuberculosis	UBERON_0000178	blood	EFO_0008931	Smart-seq2	D01	NCBITaxon_9031	Gallus gallus	male	no
AF	AB_D06_02	PrimaryBioSample_PrimaryCulture	MONDO_0001678	intestinal tuberculosis	UBERON_0000178	blood	EFO_0008931	Smart-seq2	D01	NCBITaxon_9031	Gallus gallus	male	no
AG	AB_D06_02	PrimaryBioSample_PrimaryCulture	MONDO_0001678	intestinal tuberculosis	UBERON_0000178	blood	EFO_0008931	Smart-seq2	D01	NCBITaxon_9031	Gallus gallus	male	no
AH	AB_D06_02	PrimaryBioSample_PrimaryCulture	MONDO_0001678	intestinal tuberculosis	UBERON_0000178	blood	EFO_0008931	Smart-seq2	D01	NCBITaxon_9031	Gallus gallus	male	no
AI	AB_D06_02	PrimaryBioSample_PrimaryCulture	MONDO_0001678	intestinal tuberculosis	UBERON_0000178	blood	EFO_0008931	Smart-seq2	D01	NCBITaxon_9031	Gallus gallus	male	no
AJ	AB_D06_02	PrimaryBioSample_PrimaryCulture	MONDO_0001678	intestinal tuberculosis	UBERON_0000178	blood	EFO_0008931	Smart-seq2	D01	NCBITaxon_9031	Gallus gallus	male	no
BA	AB_D06_01	PrimaryBioSample_PrimaryCulture	MONDO_0001678	intestinal tuberculosis	UBERON_0000178	blood	EFO_0008931	Smart-seq2	D02	NCBITaxon_9031	Gallus gallus	male	no
BB	AB_D06_01	PrimaryBioSample_PrimaryCulture	MONDO_0001678	intestinal tuberculosis	UBERON_0000178	blood	EFO_0008931	Smart-seq2	D02	NCBITaxon_9031	Gallus gallus	male	no
BC	AB_D06_01	PrimaryBioSample_PrimaryCulture	MONDO_0001678	intestinal tuberculosis	UBERON_0000178	blood	EFO_0008931	Smart-seq2	D02	NCBITaxon_9031	Gallus gallus	male	no
BD	AB_D06_01	PrimaryBioSample_PrimaryCulture	MONDO_0001678	intestinal tuberculosis	UBERON_0000178	blood	EFO_0008931	Smart-seq2	D02	NCBITaxon_9031	Gallus gallus	male	no
BE	AB_D06_01	PrimaryBioSample_PrimaryCulture	MONDO_0001678	intestinal tuberculosis	UBERON_0000178	blood	EFO_0008931	Smart-seq2	D02	NCBITaxon_9031	Gallus gallus	male	no
BF	AB_D06_01	PrimaryBioSample_PrimaryCulture	MONDO_0001678	intestinal tuberculosis	UBERON_0000178	blood	EFO_0008931	Smart-seq2	D02	NCBITaxon_9031	Gallus gallus	male	no
BG	AB_D06_01	PrimaryBioSample_PrimaryCulture	MONDO_0001678	intestinal tuberculosis	UBERON_0000178	blood	EFO_0008931	Smart-seq2	D02	NCBITaxon_9031	Gallus gallus	male	no
BH	AB_D06_01	PrimaryBioSample_PrimaryCulture	MONDO_0001678	intestinal tuberculosis	UBERON_0000178	blood	EFO_0008931	Smart-seq2	D02	NCBITaxon_9031	Gallus gallus	male	no
BI	AB_D06_01	PrimaryBioSample_PrimaryCulture	MONDO_0001678	intestinal tuberculosis	UBERON_0000178	blood	EFO_0008931	Smart-seq2	D02	NCBITaxon_9031	Gallus gallus	male	no
BJ	AB_D06_01	PrimaryBioSample_PrimaryCulture	MONDO_0001678	intestinal tuberculosis	UBERON_0000178	blood	EFO_0008931	Smart-seq2	D02	NCBITaxon_9031	Gallus gallus	male	no
