NAME	biosample_id	biosample_type	disease	disease__ontology_label	organ	organ__ontology_label	library_preparation_protocol	library_preparation_protocol__ontology_label	donor_id	species	species__ontology_label	sex	is_living	preservation_method	cell_type_array
TYPE	group	group	group	group	group	group	group	group	group	group	group	group	group	group	group
BA_1	BA_D06_16dpp_r3	PrimaryBioSample	MONDO_0011284	astigmatism (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D06	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retina horizontal cell
BA_2	BA_D06_16dpp_r3	PrimaryBioSample	MONDO_0011284	astigmatism (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D06	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	rod bipolar cell
BA_3	BA_D06_16dpp_r3	PrimaryBioSample	MONDO_0011284	astigmatism (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D06	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal ganglion cell
BA_4	BA_D06_16dpp_r3	PrimaryBioSample	MONDO_0011284	astigmatism (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D06	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	muller cell
BA_5	BA_D06_16dpp_r3	PrimaryBioSample	MONDO_0011284	astigmatism (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D06	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	glial cell
BA_6	BA_D06_16dpp_r3	PrimaryBioSample	MONDO_0011284	astigmatism (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D06	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal ganglion cell
BA_7	BA_D06_16dpp_r3	PrimaryBioSample	MONDO_0011284	astigmatism (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D06	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	retinal cone cell
BA_8	BA_D06_16dpp_r3	PrimaryBioSample	MONDO_0011284	astigmatism (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D06	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	amacrine cell
BA_9	BA_D06_16dpp_r3	PrimaryBioSample	MONDO_0011284	astigmatism (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D06	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	amacrine cell|glial cell
BA_10	BA_D06_16dpp_r3	PrimaryBioSample	MONDO_0011284	astigmatism (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D06	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	amacrine cell|glial cell
BA_11	BA_D06_5dpp_r1	PrimaryBioSample	MONDO_0005109	HIV infectious disease	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D06	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	amacrine cell|muller cell
BA_12	BA_D06_5dpp_r1	PrimaryBioSample	MONDO_0005109	HIV infectious disease	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D06	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	amacrine cell|muller cell
BA_13	BA_D06_5dpp_r1	PrimaryBioSample	MONDO_0005109	HIV infectious disease	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D06	NCBITaxon_10090	Mus musculus	unknown	no	Fresh	amacrine cell|muller cell
