GENE	AE_1	AE_2
DDX11L1	0.2	1.2
WASH7P	1.2	2.2
MIR1302-2HG	2.2	3.2
FAM138A	3.2	4.2
OR4G4P	4.2	5.2
OR4G11P	5.2	6.2
OR4F5	6.2	7.2
AL627309.1	7.2	8.2
AL627309.3	8.2	9.2
CICP27	9.2	10.2
AL627309.6	10.2	11.2
AL627309.7	11.2	12.2
AL627309.2	12.2	13.2
AL627309.5	13.2	14.2
AL627309.4	14.2	15.2
FO538757.1	15.2	16.2
WASH9P	16.2	17.2
AP006222.1	17.2	18.2
RPL23AP24	18.2	19.2
AL732372.1	19.2	20.2
AL732372.2	20.2	21.2
WBP1LP7	21.2	22.2
OR4F29	22.2	23.2
CICP7	23.2	24.2
AL732372.3	24.2	25.2
AL669831.3	25.2	26.2
AC114498.1	26.2	27.2
MTND1P23	27.2	28.2
MTND2P28	28.2	29.2
MTCO1P12	29.2	30.2
MTCO2P12	30.2	31.2
MTATP8P1	31.2	32.2
MTATP6P1	32.2	33.2
MTCO3P12	33.2	34.2
WBP1LP6	34.2	35.2
OR4F16	35.2	36.2
CICP3	36.2	37.2
AL669831.1	37.2	38.2
AL669831.2	38.2	39.2
LINC01409	39.2	40.2
AL669831.6	40.2	41.2
AL669831.4	41.2	42.2
FAM87B	42.2	43.2
LINC01128	43.2	44.2
LINC00115	44.2	45.2
FAM41C	45.2	46.2
TUBB8P11	46.2	47.2
AL669831.5	47.2	48.2
AL645608.6	48.2	49.2
AL645608.2	49.2	50.2
AL645608.4	50.2	51.2
LINC02593	51.2	52.2
SAMD11	52.2	53.2
NOC2L	53.2	54.2
KLHL17	54.2	55.2
PLEKHN1	55.2	56.2
PERM1	56.2	57.2
AL645608.7	57.2	58.2
HES4	58.2	59.2
ISG15	59.2	60.2
AL645608.3	60.2	61.2
AL645608.1	61.2	62.2
AGRN	62.2	63.2
AL645608.5	63.2	64.2
AL390719.1	64.2	65.2
AL645608.8	65.2	66.2
RNF223	66.2	67.2
C1orf159	67.2	68.2
AL390719.3	68.2	69.2
LINC01342	69.2	70.2
AL390719.2	70.2	71.2
TTLL10-AS1	71.2	72.2
TTLL10	72.2	73.2
TNFRSF18	73.2	74.2
TNFRSF4	74.2	75.2
SDF4	75.2	76.2
B3GALT6	76.2	77.2
C1QTNF12	77.2	78.2
AL162741.1	78.2	79.2
UBE2J2	79.2	80.2
LINC01786	80.2	81.2
SCNN1D	81.2	82.2
ACAP3	82.2	83.2
PUSL1	83.2	84.2
INTS11	84.2	85.2
AL139287.1	85.2	86.2
CPTP	86.2	87.2
TAS1R3	87.2	88.2
DVL1	88.2	89.2
MXRA8	89.2	90.2
AURKAIP1	90.2	91.2
NDUFB4P8	91.2	92.2
CCNL2	92.2	93.2
MRPL20-AS1	93.2	94.2
MRPL20	94.2	95.2
MRPL20-DT	95.2	96.2
ANKRD65	96.2	97.2
AL391244.1	97.2	98.2
TMEM88B	98.2	99.2
LINC01770	99.2	100.2
VWA1	100.2	101.2
ATAD3C	101.2	102.2
ATAD3B	102.2	103.2
AL645728.2	103.2	104.2
ATAD3A	104.2	105.2
TMEM240	105.2	106.2
SSU72	106.2	107.2
AL645728.1	107.2	108.2
AL691432.3	108.2	109.2
FNDC10	109.2	110.2
AL691432.2	110.2	111.2
MIB2	111.2	112.2
