NAME	X	Y	Fizbar	Intensity
TYPE	numeric	numeric	group	numeric
AD_1	-3.89922138	14.82605751	M	1
AD_2	-35.37466446	7.621239758	M	1
AD_3	-22.72297284	20.30488368	M	1
AD_4	-31.65355317	31.8395526	M	1
AD_5	-38.62439751	9.93386167	M	1
AD_6	-8.422031023	24.26047192	M	1
AD_7	-17.06056846	11.73673048	M	1
AD_8	-12.31720088	0.394868427	M	1
AD_9	-34.24804895	23.39681204	M	1
AD_10	-13.87643019	20.89398821	M	1
AD_11	-42.36984892	41.27707006	M	1
AD_12	-17.15057835	6.041175955	M	1
AD_13	-25.82196258	35.17520896	M	1
AD_14	-37.77252726	21.4210582	M	1
AD_15	-46.2134654	2.672688044	M	1
AD_16	-36.30579591	1.527496012	M	1
AD_17	-3.315128198	13.0866304	M	1
AD_18	-33.3299844	11.94415621	M	2
AD_19	-23.01680086	28.58640717	M	2
AD_20	-33.27619312	39.71011151	M	2
AD_21	-37.69489406	31.23272378	M	2
AD_22	-29.0272545	47.14681627	M	2
AD_23	-22.35554328	17.00484269		2
AD_24	-22.50130409	13.33772573		2
AD_25	-30.05615016	21.31429603		2
AD_26	-29.46207155	5.539502538	M	2
AD_27	-23.3170223	19.7530968	M	2
AD_28	-7.961190729	52.46538967	M	2
AD_29	-19.48149597	12.49172257	M	2
AD_30	-47.00932865	17.7276533	M	2
AD_31	-27.056757	19.87469931	M	2
AD_32	-36.77597326	26.41343975	M	2
AD_33	-44.24757735	64.62806235	M	2
AD_34	-10.18828996	25.93976832	M	2
AD_35	-7.746263727	37.5718767	M	3
AD_36	-42.06729602	37.35821721	M	3
AD_37	-23.51535529	1.387584099	M	3
AD_38	-27.82730888	34.75971617	M	3
AD_39	-33.7636495	49.43181922	M	3
AD_40	-11.3814977	43.70685198	M	3
AD_41	-9.208262394	60.38909091	M	3
AD_42	-15.27124471	59.63196345	M	3
AD_43	-4.041312739	31.41580565	M	3
AD_44	-32.64487979	33.17576874	M	3
AD_45	-1.852240922	49.87696943	M	3
AD_46	-35.59879947	24.02838512	M	3
AD_47	-47.50863427	40.26369495	M	3
AD_48	-48.0021678	18.09931961	M	3
AD_49	-34.14105083	6.892936487	M	3
AD_50	-5.294655934	5.31785339	M	3
AD_51	-28.85604525	50.26215348	M	3
AD_52	-14.80570494	55.27893203	M	3
AD_53	-35.99545237	17.59986513	M	3
AD_54	-39.20166211	46.92215162	M	4
AD_55	-48.03618936	28.66218946	M	4
AD_56	-48.93335106	29.08549506	M	4
AD_57	-44.5619192	24.53582137	M	4
AD_58	-43.75231067	52.50508649	M	4
AD_59	-4.886944329	33.57064203	M	4
AD_60	-23.27275542	43.32186628		4
AD_61	-39.09836066	47.8963156	M	4
AD_62	-35.66221473	15.30139237	M	4
AD_63	-31.32916423	43.97506096	M	4
AD_64	-37.38516113	22.96277306	M	4
AD_65	-44.94211813	76.50381274	M	4
AD_66	-7.621346062	75.32959985	M	4
AD_67	14.9226347	74.75820617	N	4
AD_68	13.01492564	30.09661605	N	4
AD_69	40.82151243	94.55021784	N	4
AD_70	23.63107054	25.32035985	N	4
AD_71	41.15796577	77.231299	N	5
AD_72	15.22618161	59.82796135	N	5
AD_73	21.98001243	90.48630146	N	5
AD_74	2.73597198	87.0499754	N	5
AD_75	46.86896406	24.64037719	N	5
AD_76	32.23727658	59.86607416	N	5
AD_77	12.57639761	79.436695	N	5
AD_78	19.23327856	75.27896689	N	5
AD_79	5.498233675	96.58051578	N	5
AD_80	36.39715988	77.01275425		5
AD_81	23.97251352	70.52753642	N	5
AD_82	19.7752586	8.079640463	N	5
AD_83	49.28995424	79.33854239	N	5
AD_84	26.54000248	38.85588534	N	5
AD_85	13.98191943	29.7780619	N	5
AD_86	38.08527736	109.5785135	N	5
AD_87	32.44576709	13.95215875	N	5
AD_88	1.641580706	70.55200594	N	5
AD_89	13.02253383	0.461179818	N	6
