NAME	biosample_id	biosample_type	disease	disease__ontology_label	organ	organ__ontology_label	library_preparation_protocol	library_preparation_protocol__ontology_label	donor_id	species	species__ontology_label	sex	is_living	has_one_label_in_cluster2
TYPE	group	group	group	group	group	group	group	group	group	group	group	group	group	group
AD_1	AD_D06_02	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D06	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_2	AD_D06_02	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D06	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_3	AD_D06_02	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D06	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_4	AD_D06_02	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D06	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_5	AD_D06_02	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D06	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_6	AD_D06_02	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D06	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_7	AD_D06_02	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D06	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_8	AD_D06_02	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D06	NCBITaxon_9606	Homo sapiens	female	yes	label 1
AD_9	AD_D06_02	DerivedType_Organoid	PATO_0000461	normal	UBERON_0000029	lymph node	EFO_0009899	10x 3' v2	AD_D06	NCBITaxon_9606	Homo sapiens	female	yes	label 1
