NAME	X	Y
TYPE	numeric	numeric
FoobarAB8_BazMoo_2ACABCADDACDBCDC-1	0.6008	0.8869
FoobarAB2_BazMoo_7CBBDBCCBBABCCCB-1	0.7986	0.6108
FoobarAB6_BazMoo_5CCDBAADBAABCACB-1	0.3991	0.83
FoobarAB4_BazMoo_6CADDAAAACAABACB-1	0.5996	0.6084
FoobarAB6_BazMoo_8DCAABDBDCADCDDC-1	0.4878	0.8113
FoobarAB3_BazMoo_6DCCBCDCADACBBAC-1	0.0329	0.5391
FoobarAB6_BazMoo_6BCCCAAADABCDDBA-1	0.4769	0.2248
FoobarAB4_BazMoo_7DDDABADCDCABDCB-1	0.0188	0.7107
FoobarAB8_BazMoo_7BCDBBABBBDBAAAA-1	0.3206	0.1706
FoobarAB7_BazMoo_8CDBBBBDDACABABC-1	0.4023	0.5177
FoobarAB3_BazMoo_4ADDDCBCBDBBCCCC-1	0.071	0.5992
FoobarAB1_BazMoo_1DBDBABADACDDCDA-1	0.9164	0.2015
FoobarAB4_BazMoo_3AADBBCBDDBCDDAC-1	0.9117	0.6115
FoobarAB4_BazMoo_6BBBBDDBDDBDABBA-1	0.3015	0.272
FoobarAB3_BazMoo_8BAABABBACDCCDDA-1	0.4052	0.8727
FoobarAB4_BazMoo_2DDABBCBACBCBBDD-1	0.503	0.4563
FoobarAB3_BazMoo_6BCBDBCCACADDBCC-1	0.6395	0.99
FoobarAB7_BazMoo_4BCBDABACAACACBB-1	0.7342	0.387
FoobarAB6_BazMoo_4BCDBCDCCADADCDC-1	0.9758	0.28
FoobarAB1_BazMoo_4CBCBBBCADAABAAB-1	0.0386	0.127
FoobarAB3_BazMoo_1DACAAADABCDCDBC-1	0.7647	0.5692
FoobarAB1_BazMoo_7DDCCACDBDDBBCDC-1	0.2807	0.3017
FoobarAB5_BazMoo_2ABCBCDAABCAADAA-1	0.0407	0.9958
FoobarAB5_BazMoo_3CCCCCCBDBCBBACC-1	0.8147	0.2723
FoobarAB5_BazMoo_7ADAADAACCBDADAC-1	0.4862	0.6006
FoobarAB8_BazMoo_7BBDBACDCBDCDCCC-1	0.8986	0.9448
FoobarAB1_BazMoo_3ACAADDBACBADCBA-1	0.8914	0.2716
FoobarAB4_BazMoo_1ACDDBCDCBADCBAC-1	0.8322	0.5229
FoobarAB6_BazMoo_6BAABBADAABABDDD-1	0.9137	0.8184
FoobarAB7_BazMoo_8DCCAADAAACBDADA-1	0.8856	0.6717
FoobarAB7_BazMoo_1CBBBBCACDADACCD-1	0.0813	0.9771
FoobarAB1_BazMoo_8CDCCCCBBBBBAABB-1	0.1081	0.5845
FoobarAB4_BazMoo_4BDCACCDDCCBDDDA-1	0.7553	0.9124
FoobarAB4_BazMoo_6BAABDAADADBCABB-1	0.3794	0.6878
FoobarAB3_BazMoo_2CCCADBAACDDBDDB-1	0.0112	0.0378
FoobarAB1_BazMoo_8BCBBCDABCBBCBAB-1	0.1081	0.0163
