NAME	X	Y	Category	Intensity
TYPE	numeric	numeric	group	numeric
AE_1	7.532146662	14.82605751	A	1
AE_2	58.61765538	7.621239758	A	1
AE_3	126.838316	20.30488368	A	1
AE_4	136.0257256	31.8395526	A	1
AE_5	118.292871	9.93386167	A	1
AE_6	29.61123218	24.26047192	A	1
AE_7	43.38776756	11.73673048	A	1
AE_8	54.18697213	0.394868427	A	1
AE_9	39.05557644	23.39681204	A	1
AE_10	171.9042563	20.89398821	A	1
AE_11	17.532146662	14.82605751	B	1
AE_12	158.61765538	7.621239758	B	1
AE_13	1126.838316	20.30488368	B	1
AE_14	1136.0257256	31.8395526	B	1
AE_14	1118.292871	9.93386167	B	1
AE_16	129.61123218	24.26047192	B	1
AE_17	143.38776756	11.73673048	B	1
AE_18	154.18697213	0.394868427	B	1
AE_19	139.05557644	23.39681204	B	1
AE_20	1171.9042563	20.89398821	B	1
