NAME	X	Y	Z
TYPE	numeric	numeric	numeric
FoobarAB8_BazMoo_2ACABCADDACDBCDC-1	0.6008	0.8869	0.4664
FoobarAB2_BazMoo_7CBBDBCCBBABCCCB-1	0.7986	0.6108	0.4719
FoobarAB6_BazMoo_5CCDBAADBAABCACB-1	0.3991	0.83	0.6613
FoobarAB4_BazMoo_6CADDAAAACAABACB-1	0.5996	0.6084	0.3322
FoobarAB6_BazMoo_8DCAABDBDCADCDDC-1	0.4878	0.8113	0.5825
FoobarAB3_BazMoo_6DCCBCDCADACBBAC-1	0.0329	0.5391	0.0851
FoobarAB6_BazMoo_6BCCCAAADABCDDBA-1	0.4769	0.2248	0.7747
FoobarAB4_BazMoo_7DDDABADCDCABDCB-1	0.0188	0.7107	0.1951
FoobarAB8_BazMoo_7BCDBBABBBDBAAAA-1	0.3206	0.1706	0.0722
FoobarAB7_BazMoo_8CDBBBBDDACABABC-1	0.4023	0.5177	0.161
FoobarAB3_BazMoo_4ADDDCBCBDBBCCCC-1	0.071	0.5992	0.1
FoobarAB1_BazMoo_1DBDBABADACDDCDA-1	0.9164	0.2015	0.1899
FoobarAB4_BazMoo_3AADBBCBDDBCDDAC-1	0.9117	0.6115	0.522
FoobarAB4_BazMoo_6BBBBDDBDDBDABBA-1	0.3015	0.272	0.944
FoobarAB3_BazMoo_8BAABABBACDCCDDA-1	0.4052	0.8727	0.9474
FoobarAB4_BazMoo_2DDABBCBACBCBBDD-1	0.503	0.4563	0.5347
FoobarAB3_BazMoo_6BCBDBCCACADDBCC-1	0.6395	0.99	0.5469
FoobarAB7_BazMoo_4BCBDABACAACACBB-1	0.7342	0.387	0.4311
FoobarAB6_BazMoo_4BCDBCDCCADADCDC-1	0.9758	0.28	0.1368
FoobarAB1_BazMoo_4CBCBBBCADAABAAB-1	0.0386	0.127	0.01
FoobarAB3_BazMoo_1DACAAADABCDCDBC-1	0.7647	0.5692	0.0434
FoobarAB1_BazMoo_7DDCCACDBDDBBCDC-1	0.2807	0.3017	0.7385
FoobarAB5_BazMoo_2ABCBCDAABCAADAA-1	0.0407	0.9958	0.1869
FoobarAB5_BazMoo_3CCCCCCBDBCBBACC-1	0.8147	0.2723	0.9625
FoobarAB5_BazMoo_7ADAADAACCBDADAC-1	0.4862	0.6006	0.7123
FoobarAB8_BazMoo_7BBDBACDCBDCDCCC-1	0.8986	0.9448	0.8221
FoobarAB1_BazMoo_3ACAADDBACBADCBA-1	0.8914	0.2716	0.6752
FoobarAB4_BazMoo_1ACDDBCDCBADCBAC-1	0.8322	0.5229	0.3683
FoobarAB6_BazMoo_6BAABBADAABABDDD-1	0.9137	0.8184	0.2426
FoobarAB7_BazMoo_8DCCAADAAACBDADA-1	0.8856	0.6717	0.1566
FoobarAB7_BazMoo_1CBBBBCACDADACCD-1	0.0813	0.9771	0.2976
FoobarAB1_BazMoo_8CDCCCCBBBBBAABB-1	0.1081	0.5845	0.4995
FoobarAB4_BazMoo_4BDCACCDDCCBDDDA-1	0.7553	0.9124	0.5822
FoobarAB4_BazMoo_6BAABDAADADBCABB-1	0.3794	0.6878	0.5851
FoobarAB3_BazMoo_2CCCADBAACDDBDDB-1	0.0112	0.0378	0.6386
FoobarAB1_BazMoo_8BCBBCDABCBBCBAB-1	0.1081	0.0163	0.0384
FoobarAB3_BazMoo_8DDDBBDABDADADDC-1	0.9282	0.4474	0.9722
FoobarAB2_BazMoo_1DABCCCDCCAADCAB-1	0.5263	0.4288	0.0626
FoobarAB4_BazMoo_5AADBCCDBCAACADA-1	0.6797	0.3919	0.1664
FoobarAB5_BazMoo_7DCDCABBAABBDCDA-1	0.5883	0.5482	0.0793
FoobarAB2_BazMoo_5DBBCCDBABABBCCB-1	0.2161	0.1596	0.3195
FoobarAB5_BazMoo_5CDBBDDCDCBDDDDB-1	0.8338	0.3025	0.9718
FoobarAB5_BazMoo_2DADCDABBCDCCCAD-1	0.7795	0.2609	0.7585
FoobarAB6_BazMoo_7DCDCAAADDDCCAAB-1	0.5551	0.6672	0.3097
FoobarAB5_BazMoo_1ABBDBDCBBDADDCA-1	0.541	0.799	0.7525
FoobarAB8_BazMoo_2ABACDBABDCBCDBC-1	0.7736	0.0206	0.8378
FoobarAB6_BazMoo_7CCAAACCAAAADAAB-1	0.7623	0.0442	0.5257
FoobarAB3_BazMoo_7ADDDDBDCDACABCD-1	0.8849	0.6391	0.4728
FoobarAB2_BazMoo_2CBADCACBBACBABC-1	0.1558	0.3329	0.3694
FoobarAB4_BazMoo_1CCDCBBCBBAADABB-1	0.5974	0.0291	0.4054
FoobarAB4_BazMoo_3DCBADAADDBBBAAC-1	0.7509	0.106	0.0794
FoobarAB7_BazMoo_3CCCCAABBCCBCABC-1	0.6352	0.1345	0.3503
FoobarAB1_BazMoo_4BCBCDDACDDADCCB-1	0.2298	0.4213	0.5834
FoobarAB1_BazMoo_1DDABDCBBAACADBB-1	0.1492	0.0301	0.1622
FoobarAB2_BazMoo_6CBABDDBCCCBDDBC-1	0.171	0.8005	0.8115
FoobarAB1_BazMoo_6BBADAACABABBAAD-1	0.8012	0.7925	0.7206
FoobarAB4_BazMoo_5DCDAACCADAACDDB-1	0.0838	0.413	0.7376
FoobarAB2_BazMoo_5DABAAADACAADCBC-1	0.0128	0.5647	0.9291
FoobarAB5_BazMoo_8AACABBBCABABDDC-1	0.4008	0.5951	0.9236
FoobarAB6_BazMoo_3ABDACABCBDBCDCA-1	0.8839	0.3043	0.087
FoobarAB6_BazMoo_5ADCABCBAACBCCAD-1	0.6576	0.2093	0.9033
FoobarAB6_BazMoo_1CCCDABBCBABCAAB-1	0.3308	0.8667	0.7441
FoobarAB5_BazMoo_4AACADADCBABADDC-1	0.1577	0.0227	0.2411
FoobarAB4_BazMoo_8ACDCCDCDADCDCDD-1	0.6501	0.0825	0.4024
FoobarAB3_BazMoo_4DBBADDCBDCABBBC-1	0.7413	0.4334	0.3835
FoobarAB3_BazMoo_1CDBCCADCBADADCC-1	0.2243	0.8751	0.2153
FoobarAB7_BazMoo_2DDABDCCDACCDBDA-1	0.7061	0.1495	0.9453
FoobarAB4_BazMoo_6CBCCBDDDCACADCA-1	0.2494	0.6153	0.1085
FoobarAB8_BazMoo_4BCBCBDDBCABDDCB-1	0.6505	0.4132	0.1384
FoobarAB8_BazMoo_3CBCABBBBCBDCBCA-1	0.605	0.0709	0.2848
FoobarAB2_BazMoo_7ADABBAABBCBDADB-1	0.3949	0.5555	0.4307
FoobarAB3_BazMoo_5BCDBCDBDCCBDBCC-1	0.5862	0.4392	0.8217
FoobarAB8_BazMoo_3DCDAACBBBDDABDB-1	0.4479	0.7957	0.4122
FoobarAB3_BazMoo_4DCBBCBAADBDDADA-1	0.454	0.6391	0.3009
FoobarAB8_BazMoo_4CABCBBAACADBABD-1	0.0128	0.7396	0.2414
FoobarAB4_BazMoo_8AACBCDDCCABCABB-1	0.0635	0.2497	0.8805
FoobarAB2_BazMoo_5CCABBAABAAABBAD-1	0.2491	0.7185	0.513
FoobarAB6_BazMoo_5DBBDACBBDDBBBAD-1	0.2737	0.5781	0.0062
FoobarAB3_BazMoo_1BBCCBABDADAADBB-1	0.4244	0.3223	0.8386
FoobarAB3_BazMoo_2CADABCCBBBDCDAB-1	0.3516	0.4841	0.2599
FoobarAB1_BazMoo_7CCDDDBCACDBDADB-1	0.9204	0.2587	0.6909
FoobarAB3_BazMoo_2DBAACDCABCBCBCB-1	0.0181	0.3521	0.4251
FoobarAB5_BazMoo_8CAADBCCDACDCCBD-1	0.5714	0.023	0.9482
FoobarAB6_BazMoo_6CBCCBADCDBACCDB-1	0.3499	0.6095	0.1383
