NAME	CLUSTER	SUBCLUSTER
TYPE	group	group
FoobarAB8_BazMoo_2ACABCADDACDBCDC-1	P	PPP
FoobarAB2_BazMoo_7CBBDBCCBBABCCCB-1	P	PPP
FoobarAB6_BazMoo_5CCDBAADBAABCACB-1	P	PPP
FoobarAB4_BazMoo_6CADDAAAACAABACB-1	P	PPP
FoobarAB6_BazMoo_8DCAABDBDCADCDDC-1	P	PPP
FoobarAB3_BazMoo_6DCCBCDCADACBBAC-1	P	PPP
FoobarAB6_BazMoo_6BCCCAAADABCDDBA-1	P	PPP
FoobarAB4_BazMoo_7DDDABADCDCABDCB-1	P	PPP
FoobarAB8_BazMoo_7BCDBBABBBDBAAAA-1	P	PPP
FoobarAB7_BazMoo_8CDBBBBDDACABABC-1	P	PPP
FoobarAB3_BazMoo_4ADDDCBCBDBBCCCC-1	P	PPP
FoobarAB1_BazMoo_1DBDBABADACDDCDA-1	P	PPP
FoobarAB4_BazMoo_3AADBBCBDDBCDDAC-1	P	PPP
FoobarAB4_BazMoo_6BBBBDDBDDBDABBA-1	P	PPP
FoobarAB3_BazMoo_8BAABABBACDCCDDA-1	P	PPP
FoobarAB4_BazMoo_2DDABBCBACBCBBDD-1	P	PPP
FoobarAB3_BazMoo_6BCBDBCCACADDBCC-1	P	PPP
FoobarAB7_BazMoo_4BCBDABACAACACBB-1	P	PPP
FoobarAB6_BazMoo_4BCDBCDCCADADCDC-1	P	PPP
FoobarAB1_BazMoo_4CBCBBBCADAABAAB-1	P	PPP
FoobarAB3_BazMoo_1DACAAADABCDCDBC-1	P	PPP
FoobarAB1_BazMoo_7DDCCACDBDDBBCDC-1	P	PPP
FoobarAB5_BazMoo_2ABCBCDAABCAADAA-1	P	PPP
FoobarAB5_BazMoo_3CCCCCCBDBCBBACC-1	P	PPP
FoobarAB5_BazMoo_7ADAADAACCBDADAC-1	P	PPP
FoobarAB8_BazMoo_7BBDBACDCBDCDCCC-1	P	PPP
FoobarAB1_BazMoo_3ACAADDBACBADCBA-1	P	PPP
FoobarAB4_BazMoo_1ACDDBCDCBADCBAC-1	P	PPP
FoobarAB6_BazMoo_6BAABBADAABABDDD-1	P	PPP
FoobarAB7_BazMoo_8DCCAADAAACBDADA-1	P	PPP
FoobarAB7_BazMoo_1CBBBBCACDADACCD-1	P	PPP
FoobarAB1_BazMoo_8CDCCCCBBBBBAABB-1	P	PPP
FoobarAB4_BazMoo_4BDCACCDDCCBDDDA-1	P	PPP
FoobarAB4_BazMoo_6BAABDAADADBCABB-1	P	PPP
FoobarAB3_BazMoo_2CCCADBAACDDBDDB-1	P	PPP
FoobarAB1_BazMoo_8BCBBCDABCBBCBAB-1	P	PPP
FoobarAB3_BazMoo_8DDDBBDABDADADDC-1	P	PPP
FoobarAB2_BazMoo_1DABCCCDCCAADCAB-1	P	PPP
FoobarAB4_BazMoo_5AADBCCDBCAACADA-1	P	PPP
FoobarAB5_BazMoo_7DCDCABBAABBDCDA-1	P	PPP
FoobarAB2_BazMoo_5DBBCCDBABABBCCB-1	P	PPP
FoobarAB5_BazMoo_5CDBBDDCDCBDDDDB-1	P	PPP
FoobarAB5_BazMoo_2DADCDABBCDCCCAD-1	P	PPP
FoobarAB6_BazMoo_7DCDCAAADDDCCAAB-1	P	PPP
FoobarAB5_BazMoo_1ABBDBDCBBDADDCA-1	P	PPP
FoobarAB8_BazMoo_2ABACDBABDCBCDBC-1	P	PPP
FoobarAB6_BazMoo_7CCAAACCAAAADAAB-1	P	PPP
FoobarAB3_BazMoo_7ADDDDBDCDACABCD-1	P	PPP
FoobarAB2_BazMoo_2CBADCACBBACBABC-1	P	PPP
FoobarAB4_BazMoo_1CCDCBBCBBAADABB-1	P	PPP
FoobarAB4_BazMoo_3DCBADAADDBBBAAC-1	P	PPP
FoobarAB7_BazMoo_3CCCCAABBCCBCABC-1	P	PPP
FoobarAB1_BazMoo_4BCBCDDACDDADCCB-1	P	PPP
FoobarAB1_BazMoo_1DDABDCBBAACADBB-1	P	PPP
FoobarAB2_BazMoo_6CBABDDBCCCBDDBC-1	P	PPP
FoobarAB1_BazMoo_6BBADAACABABBAAD-1	P	PPP
FoobarAB4_BazMoo_5DCDAACCADAACDDB-1	P	PPP
FoobarAB2_BazMoo_5DABAAADACAADCBC-1	P	PPP
FoobarAB5_BazMoo_8AACABBBCABABDDC-1	P	PPP
FoobarAB6_BazMoo_3ABDACABCBDBCDCA-1	P	PPP
FoobarAB6_BazMoo_5ADCABCBAACBCCAD-1	P	PPP
FoobarAB6_BazMoo_1CCCDABBCBABCAAB-1	P	PPP
FoobarAB5_BazMoo_4AACADADCBABADDC-1	P	PPP
FoobarAB4_BazMoo_8ACDCCDCDADCDCDD-1	P	PPP
FoobarAB3_BazMoo_4DBBADDCBDCABBBC-1	P	PPP
FoobarAB3_BazMoo_1CDBCCADCBADADCC-1	P	PPP
FoobarAB7_BazMoo_2DDABDCCDACCDBDA-1	P	PPP
FoobarAB4_BazMoo_6CBCCBDDDCACADCA-1	P	PPP
FoobarAB8_BazMoo_4BCBCBDDBCABDDCB-1	P	PPP
FoobarAB8_BazMoo_3CBCABBBBCBDCBCA-1	P	PPP
FoobarAB2_BazMoo_7ADABBAABBCBDADB-1	P	PPP
FoobarAB3_BazMoo_5BCDBCDBDCCBDBCC-1	P	PPP
FoobarAB8_BazMoo_3DCDAACBBBDDABDB-1	P	PPP
FoobarAB3_BazMoo_4DCBBCBAADBDDADA-1	P	PPP
FoobarAB8_BazMoo_4CABCBBAACADBABD-1	P	PPP
FoobarAB4_BazMoo_8AACBCDDCCABCABB-1	P	PPP
FoobarAB2_BazMoo_5CCABBAABAAABBAD-1	P	PPP
FoobarAB6_BazMoo_5DBBDACBBDDBBBAD-1	P	PPP
FoobarAB3_BazMoo_1BBCCBABDADAADBB-1	P	PPP
FoobarAB3_BazMoo_2CADABCCBBBDCDAB-1	P	PPP
FoobarAB1_BazMoo_7CCDDDBCACDBDADB-1	P	PPP
FoobarAB3_BazMoo_2DBAACDCABCBCBCB-1	P	PPP
FoobarAB5_BazMoo_8CAADBCCDACDCCBD-1	P	PPP
FoobarAB6_BazMoo_6CBCCBADCDBACCDB-1	P	PPP
FoobarAB3_BazMoo_5DCDCDACDDDAAACB-1	P	PPP
FoobarAB1_BazMoo_4AAABCACBDABABCB-1	P	PPP
FoobarAB4_BazMoo_2ADCDBCBABCDDABD-1	P	PPP
FoobarAB3_BazMoo_4ADDCABCACDDDABA-1	P	PPP
FoobarAB4_BazMoo_6CBDCBBABCBCCACC-1	P	PPP
